Code,VISIT_DATE,Period,ALL_SPECIES,FHS_Ref,All_Ref,DEPTH,RICHNESS,Australasian Shoveler,Australasian Grebe,Australian Pelican,Australian Shelduck,Banded Stilt,Australian Wood Duck,Black Swan,Black-fronted Dotteral,Black-tailed Native-Hen,Black-winged Stilt,Blue-billed Duck,Chestnut Teal,Clamorous Reed Warbler,Darter,Dusky Moorhen,Eurasian Coot,Freckled Duck,Great Cormorant,Great Egret,Great Crested Grebe,Greenshank,Grey Teal,Hardhead,Hoary-headed Grebe,Little Black Cormorant,Little Pied Cormorant,Swamp Harrier,Marsh Sandpiper,Musk Duck,Oriental Plover,Pacific Black Duck,Pied Cormorant,Pink-eared Duck,Purple Swamphen (northern),Red-capped Plover,Red-kneed Dotteral,Nankeen Night Heron,Australian White Ibis,Sharp-tailed Sandpiper,Silver Gull,Straw-necked Ibis,Whistered Tern,White-faced Heron,White-necked Heron,Wood Sandpiper,Yellow-billed Spoonbill
TR08B83,27/08/1983,1980s,N,N,N,2.45,13,5,2,,7,,,2,,,,6,,,,,23,,,,,,53,,3,,1,1,,2,,2,,4,,,,,,,,,,,,,
TR0983,17/09/1983,1980s,N,Y,Y,2.5,20,1,3,,2,,3,4,,,,5,,,,,37,,11,,3,,116,8,26,,9,,,12,,5,,39,1,,,,,,,,,7,6,,2
TR1083,9/10/1983,1980s,N,N,N,2.2,17,,4,,10,,,9,,,,1,,,,,59,4,3,,3,,30,,3,,100,,,10,,,,40,,,,5,,,,,,2,2,,6
TR10A83,22/10/1983,1980s,N,N,N,2.1,18,2,,,9,,,7,2,,,,,,,,14,3,,20,,,31,8,7,1,15,1,,7,,11,,12,,,,7,,,,,,5,,,
TR1183,5/11/1983,1980s,N,N,N,1.9,17,9,,,,,,3,,,,5,,,,,60,13,,12,,,40,7,30,,30,,,10,,11,,20,,,,23,,,,,,6,9,,5
TR11A83,21/11/1983,1980s,N,N,N,1.8,17,,,,10,,43,3,,,,,,,,,42,8,6,1,3,,51,,26,,5,,,5,,11,,26,,,,8,,,,,,9,,,8
TR1283,10/12/1983,1980s,N,N,N,1.8,18,35,,,1,,4,1,,,,1,,,,,1,20,,35,,,1,2,25,,50,,,1,,4,,1,,,,25,,,,,,10,,,1
TR0184,11/01/1984,1980s,A,N,Y,1.7,19,,1,,,,17,3,,,,6,,,,,242,1,3,6,1,,37,7,27,12,18,,,5,,3,,2,,,,10,,,,,,,,,2
TR0584,24/05/1984,1980s,N,N,N,1.4,9,,1,,2,,3,4,,,,,,,,,13,,,,,,,,,,6,,,,,2,,,,,,,16,,,,,8,,,
TR0884,13/08/1984,1980s,N,N,N,1.4,6,,,,14,,,1,,,,,,,,,12,,,,,,18,,,,,,,,,,,,,,,,6,,,,,7,,,
TR0984,12/09/1984,1980s,N,Y,Y,1.3,21,1,3,,8,,1,4,,,,1,,,,,54,,,3,4,,29,41,50,1,50,,,6,,9,,23,,,,19,5,,,,,9,,,9
TR1084,1/10/1984,1980s,N,N,N,1.25,21,2,1,,3,,,3,,,,,,,,,15,12,6,1,4,,200,20,,50,50,,,4,,,,30,,,,15,8,,,15,,5,1,,20
TR1184,14/11/1984,1980s,N,N,N,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
TR0987,3/09/1987,1980s,N,N,N,,3,,,,23,,,,3,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
T0888,8/08/1988,1980s,A,N,Y,0.6,13,,,,20,,,8,5,,,,,,,,48,1,,,,,161,6,1,,,1,,,,3,,,,,,,,,,,,2,,1,1
T0990,11/09/1990,1990,A,N,Y,1.93,13,2,2,,2,,2,,,,,,,,,,156,,,1,,,100,,2,,20,,,3,,6,,20,,,,1,,,,,,,,,
W0990,11/09/1990,1990,A,N,Y,1.08,8,,,,,,,,,,,1,,,,,60,,,,,,20,,5,,,,,2,,6,,4,,,,,,,,1,,,,,
T1296,4/12/1996,1996,A,N,Y,??,19,4,,,74,,8,,,,51,,,,,,201,1,1,,,,194,25,14,,4,,1,,,17,,154,,,60,5,,,,,,5,2,,26
W1296,4/12/1996,1996,A,N,Y,0.78,16,8,,,5,,20,1,,,,2,,,,1,106,33,,,,,430,36,28,,,,,6,,44,,300,,,,,,,,,,,6,,1
TM1296,18/12/1996,1996,A,N,Y,0.66,17,56,,,97,,,2,,,19,,,,,,281,25,,1,,,1162,60,1,,1,,,,,3,,134,,,11,,,,,,,2,1,,2
WM1296,18/12/1996,1996,A,N,Y,0.74,11,,,,57,,20,,,,,,,,,2,12,,,,,,367,58,22,,,,,4,,1,,8,,,,,,,,,,,,,4
TM0417,11/04/2017,2017,A,N,Y,1.54,13,12,12,,7,,18,10,,,,,,,,,48,,,,,,508,,21,,,,,2,,64,,72,,,,,,,,3,,12,,,
TM1017,27/10/2017,2017,A,N,Y,1.41,17,2,,,,,5,5,1,8,,,,,,,49,1,,,,,309,7,78,,,1,,5,,4,,60,,,,,,,,1,,13,2,,
WM0417,12/04/2017,2017,A,N,Y,0.88,12,,,,1,,1,1,,,,,3,,,,19,,,,,,408,,1,,,,,1,,107,,35,,,,,,,,1,,14,,,
WM1017,28/10/2017,2017,A,N,Y,0.93,10,4,,,,,24,,,5,,,,,,,20,1,,,,,275,4,32,,,,,2,,,,44,,,,,,,,,,,,,
TM1121,2/11/2021,2021-22,A,N,Y,0.88,13,,,,6,,6,6,,,,3,,,,,126,,,,,,259,12,33,,3,,,7,,2,,12,,,,3,,,,,,,,,
WM1121,2/11/2021,2021-22,A,N,Y,0.88,14,,2,,,,27,12,,2,,,,,,,46,2,,2,,,166,2,47,,,,,2,,2,,38,,,,1,,,,,,,,,
TM0122,10/01/2022,2021-22,A,N,Y,1.2,17,18,,,10,,10,11,,2,,,,,,,158,,,1,,,985,6,832,,19,,,6,,4,,372,,,,1,1,,,,,36,,,
WM0122,11/01/2022,2021-22,A,N,Y,0.46,17,12,,,,,6,1,8,6,51,,,,,,23,1,,1,,,213,20,68,,,,,,,1,,79,,,111,,,,,,,17,1,,
